id,pop,YearOnly,hatchDoY,lat,lon,Site Name,catchDoY,estimatedAge
232,M. peelii,2013,291.6227473,-35.4,149.01,Kambah Pool,317,15.35
233,M. peelii,2013,291.2418566,-35.4,149.01,Kambah Pool,317,15.74
234,M. peelii,2013,292.7654195,-35.4,149.01,Kambah Pool,317,14.21
235,M. peelii,2013,290.7657431,-35.4,149.01,Kambah Pool,317,16.21
236,M. peelii,2013,291.8131927,-35.4,149.01,Kambah Pool,317,15.16
237,M. peelii,2013,291.1466339,-35.4,149.01,Kambah Pool,317,15.83
238,M. peelii,2013,291.5275246,-35.4,149.01,Kambah Pool,317,15.45
239,M. peelii,2013,291.5275246,-35.4,149.01,Kambah Pool,317,15.45
240,M. peelii,2013,291.1466339,-35.4,149.01,Kambah Pool,317,15.83
241,M. peelii,2013,291.6227473,-35.4,149.01,Kambah Pool,317,15.35
242,M. peelii,2013,292.2893061,-35.4,149.01,Kambah Pool,317,14.69
244,M. peelii,2013,292.6701968,-35.4,149.01,Kambah Pool,317,14.31
245,M. peelii,2013,290.7657431,-35.4,149.01,Kambah Pool,317,16.21
246,M. peelii,2013,292.2893061,-35.4,149.01,Kambah Pool,317,14.69
247,M. peelii,2013,291.9084154,-35.4,149.01,Kambah Pool,317,15.07
250,M. peelii,2013,292.4797515,-35.47,149.06,Lanyon,317,14.5
254,M. peelii,2013,292.8606422,-35.47,149.06,Lanyon,317,14.12
255,M. peelii,2013,293.0510876,-35.47,149.06,Lanyon,317,13.93
256,M. peelii,2013,293.0510876,-35.47,149.06,Lanyon,317,13.93
257,M. peelii,2013,294.3856707,-35.4,149.01,Kambah Pool,319,14.88
258,M. peelii,2013,293.2429985,-35.4,149.01,Kambah Pool,319,16.02
259,M. peelii,2013,294.3856707,-35.4,149.01,Kambah Pool,319,14.88
260,M. peelii,2013,293.6238893,-35.4,149.01,Kambah Pool,319,15.64
261,M. peelii,2013,294.1952254,-35.4,149.01,Kambah Pool,319,15.07
262,F1 Hybrid,2013,302.1016981,-35.29,148.96,Nerreman,322,11.07
263,M. peelii,2013,301.9112527,-35.29,148.96,Nerreman,322,11.26
264,M. peelii,2013,296.7692278,-35.29,148.96,Nerreman,322,16.4
265,M. peelii,2013,300.7685805,-35.29,148.96,Nerreman,322,12.4
266,M. peelii,2013,296.1978917,-35.29,148.96,Nerreman,322,16.97
267,M. peelii,2013,304.4697489,-35.52,149.07,Tharwa Sandwash,323,10.69
268,M. peelii,2013,300.2799507,-35.52,149.07,Tharwa Sandwash,323,14.88
269,F2 Hybrid,2013,297.2328248,-35.52,149.07,Tharwa Sandwash,323,17.93
270,M. peelii,2013,302.7557405,-35.4,149.01,Kambah Pool,323,12.4
271,M. peelii,2013,302.5652952,-35.4,149.01,Kambah Pool,323,12.59
272,M. peelii,2013,302.9461859,-35.4,149.01,Kambah Pool,323,12.21
273,M. peelii,2013,299.3277239,-35.4,149.01,Kambah Pool,323,15.83
274,M. peelii,2013,301.9939591,-35.4,149.01,Kambah Pool,323,13.16
