"id","YearOnly","estimatedAge","pop","Day of Year","hatchedDoY","Delta13C","Delta15N","CNRatio","Distance to Angle Crossing (m)","lat","lon","raceCladeName","cladeGoTName","mumPulldown","Fathers","inbredCoeff"
155,2012,11.77,"Bullen Range",318,306.22,,,,34906.28,-35.37,148.98,"Goodoo","Wildlings","Mirri Maz Duur","Qotho",-0.04
156,2012,9.04,"Bullen Range",318,308.95,,,,34906.28,-35.37,148.98,"Goodoo","Wildlings",,,-0.01
157,2012,9.67,"Bullen Range",318,308.32,,,,34906.28,-35.37,148.98,"Goodoo","Lannister",,,0.06
158,2012,11.35,"Bullen Range",318,306.64,,,,34906.28,-35.37,148.98,"Goodoo","Wildlings",,,-0.26
159,2012,9.04,"Bullen Range",318,308.95,,,,34906.28,-35.37,148.98,"Goodoo","Wildlings",,,-0.15
160,2012,12.41,"Nerreman",320,307.58,,,,46228.76,-35.29,148.96,"Goodoo","Nights Watch",,,0.10
161,2012,12.41,"Nerreman",320,307.58,,,,46228.76,-35.29,148.96,"Goodoo","Nights Watch",,,0.04
162,2012,11.98,"Nerreman",320,308.01,,,,46228.76,-35.29,148.96,"Ponde","FacelessMen",,,-0.05
163,2012,13.25,"Nerreman",320,306.74,,,,46228.76,-35.29,148.96,"Pondi","House Arryn","MH16","FH16",-0.58
164,2012,13.25,"Nerreman",320,306.74,,,,46228.76,-35.29,148.96,"Goodoo","Wildlings","Osha","Theon",-0.06
165,2012,10.72,"Nerreman",320,309.27,,,,46228.76,-35.29,148.96,"Ponde","FacelessMen",,,0.17
166,2012,13.67,"Nerreman",320,306.32,,,,46228.76,-35.29,148.96,"Pondi","House Arryn","MH16","FH16",-0.48
167,2012,12.30,"Nerreman",320,307.69,,,,46228.76,-35.29,148.96,"Goodoo","Wildlings",,,-0.35
168,2012,9.04,"Nerreman",320,310.95,,,,46228.76,-35.29,148.96,"Goodoo","Wildlings",,,0.01
169,2012,7.15,"Nerreman",320,312.84,,,,46228.76,-35.29,148.96,"Goodoo","Wildlings","Osha","Theon",-0.19
170,2012,12.41,"Nerreman",320,307.58,,,,46228.76,-35.29,148.96,"Goodoo","Lannister","Nymeria Sand","Areo",-0.02
171,2012,8.41,"Nerreman",320,311.58,,,,46228.76,-35.29,148.96,"Pondi","House Arryn","MH16","FH16",-0.84
172,2012,12.51,"Nerreman",320,307.48,,,,46228.76,-35.29,148.96,"Goodoo","Wildlings",,,-0.26
173,2012,11.56,"Nerreman",320,308.43,,,,46228.76,-35.29,148.96,"Pondi","House Arryn","MH16","FH16",-0.62
174,2012,12.19,"Nerreman",320,307.80,,,,46228.76,-35.29,148.96,"Pondi","House Arryn","MH16","FH16",-0.72
