"pair.no","ind1.id","ind2.id","group","trioml","wang","lynchli","lynchrd","ritland","quellergt","dyadml"
"179",179,"185","173","1817",0,0.2175,0.2112,-0.026,-0.0202,-0.1078,0
"180",180,"185","290","1829",0,0.1228,0.1208,-0.0953,-0.0751,-0.1111,0
"181",181,"185","292","1829",0,0.2267,0.2249,-0.0053,-0.0039,-0.0184,0
"182",182,"185","172","1817",0.0943,0.1983,0.1988,0.0832,0.0722,0.1067,0.0945
"183",183,"185","171","1817",0,0.2348,0.2268,-0.1103,-0.0748,-0.2958,0
"184",184,"185","170","1817",0,0.012,0.018,-0.0307,-0.0283,0.0367,0
"185",185,"185","293","1829",0.0113,0.1078,0.1115,0.0103,0.0091,0.0235,0.0113
"186",186,"185","333","1833",0,0.2149,0.2112,-0.0347,-0.0259,-0.0711,0
"187",187,"185","335","1833",0.1479,0.1691,0.1738,0.1408,0.1324,0.213,0.1485
"188",188,"185","337","1833",0.1285,0.1598,0.1651,0.1246,0.1156,0.191,0.135
"189",189,"185","323","1832",0,0.0901,0.0963,-0.0303,-0.0257,0.0131,0
"190",190,"185","324","1832",0,0.1082,0.1087,-0.0464,-0.039,-0.0373,0
"191",191,"185","327","1832",0.0133,0.0802,0.0834,0.0126,0.0115,0.0689,0.0134
"192",192,"185","80","1880",0,0.0018,0.0117,-0.0079,-0.0074,0.0586,0
"193",193,"185","85","1885",0,-0.0098,-0.0037,-0.0761,-0.0693,-0.0024,0
"194",194,"185","84","1884",0.019,0.0478,0.0527,-0.0098,-0.009,0.0689,0.019
"195",195,"185","83","1883",0,0.0405,0.0462,-0.0692,-0.0598,8e-04,0
"196",196,"185","82","1882",0,0.0442,0.0431,-0.1245,-0.1059,-0.0946,0
"197",197,"185","81","1881",0,0.0512,0.0558,-0.0026,-0.0024,0.0837,0
"198",198,"185","91","1891",0,-0.0572,-0.0539,-0.0844,-0.0809,-3e-04,0
"199",199,"185","92","1892",0,0.0209,0.0276,-0.031,-0.0283,0.0473,0
"200",200,"185","93","1893",0,0.006,0.0087,-0.0084,-0.0082,0.0596,0
"201",201,"185","86","1886",0,0.0493,0.0557,-0.0742,-0.0629,0.0084,0
"202",202,"185","87","1887",0,0.0313,0.0398,-0.0713,-0.0613,0.0252,0
"203",203,"185","88","1888",0,-0.0427,-0.032,-0.0738,-0.0681,0.0047,0
"204",204,"185","89","1889",0,-0.0709,-0.0631,-0.1381,-0.1252,-0.0745,0
"205",205,"185","90","1890",0,-0.0251,-0.0163,-0.0845,-0.0761,-0.0063,0
"206",206,"185","94","1894",0,-0.1209,-0.1196,-0.1282,-0.126,-0.0789,0
"207",207,"185","128","1812",0,-0.0074,-0.0061,-0.123,-0.1098,-0.0748,0
"208",208,"185","127","1812",0,0.0186,0.0193,-0.0639,-0.0586,-0.0087,0
"209",209,"185","132","1813",0.0101,0.0163,0.0159,-0.0215,-0.0208,0.0548,0.0101
"210",210,"185","131","1813",0,0.0735,0.071,-0.1215,-0.1009,-0.1198,0
"211",211,"185","130","1813",0.0032,-0.0093,-0.0061,-0.0334,-0.0321,0.0255,0.0032
"212",212,"185","129","1812",0,0.0879,0.0865,-0.0509,-0.0444,0.0056,0
"213",213,"185","143","1814",0,0.2151,0.2081,-0.1299,-0.0884,-0.2524,0
"214",214,"185","146","1814",0,0.0844,0.0806,-0.1525,-0.1221,-0.2127,0
"215",215,"185","179","1817",0,-0.005,-0.0038,-0.0675,-0.063,0.0111,0
